name,date,pressure
Bemidji,"2021-10-30 00:15:00",29.85
Bemidji,"2021-10-30 00:35:00",29.85
Bemidji,"2021-10-30 00:55:00",29.84
Bemidji,"2021-10-30 01:15:00",29.84
Bemidji,"2021-10-30 01:35:00",29.83
Bemidji,"2021-10-30 01:55:00",29.83
Bemidji,"2021-10-30 02:15:00",29.82
Bemidji,"2021-10-30 02:35:00",29.81
Bemidji,"2021-10-30 02:55:00",29.81
Bemidji,"2021-10-30 03:15:00",29.8
Bemidji,"2021-10-30 03:35:00",29.8
Bemidji,"2021-10-30 03:55:00",29.79
Bemidji,"2021-10-30 04:15:00",29.79
Bemidji,"2021-10-30 04:35:00",29.78
Bemidji,"2021-10-30 04:55:00",29.78
Bemidji,"2021-10-30 05:15:00",29.77
Bemidji,"2021-10-30 05:35:00",29.76
Bemidji,"2021-10-30 05:55:00",29.76
Bemidji,"2021-10-30 06:15:00",29.75
Bemidji,"2021-10-30 06:35:00",29.74
Bemidji,"2021-10-30 06:55:00",29.73
Bemidji,"2021-10-30 07:15:00",29.73
Bemidji,"2021-10-30 07:35:00",29.73
Bemidji,"2021-10-30 07:55:00",29.74
Bemidji,"2021-10-30 08:15:00",29.74
Bemidji,"2021-10-30 08:35:00",29.74
Bemidji,"2021-10-30 08:55:00",29.76
Bemidji,"2021-10-30 09:15:00",29.75
Bemidji,"2021-10-30 09:35:00",29.74
Bemidji,"2021-10-30 09:55:00",29.75
Bemidji,"2021-10-30 10:15:00",29.75
Bemidji,"2021-10-30 10:35:00",29.74
Bemidji,"2021-10-30 10:55:00",29.74
Bemidji,"2021-10-30 11:15:00",29.74
Bemidji,"2021-10-30 11:35:00",29.75
Bemidji,"2021-10-30 11:55:00",29.75
Bemidji,"2021-10-30 12:15:00",29.75
Bemidji,"2021-10-30 12:35:00",29.76
Bemidji,"2021-10-30 12:55:00",29.77
Bemidji,"2021-10-30 13:15:00",29.78
Bemidji,"2021-10-30 13:35:00",29.77
Bemidji,"2021-10-30 13:55:00",29.78
